title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
2 Days in Paris, Gold., $4433994, 148, $173641, 10, 8/10/2007
2 Days in the Valley, MGM, $11132210, 855, $3352440, 769, 9/27/1996
2 Fast 2 Furious, Uni., $127154901, 3418, $50472480, 3408, 6/6/2003
2 Guns, Uni., $75612460, 3028, $27059130, 3025, 8/2/2013
2 Jacks, BGP, n/a, n/a, n/a, n/a, 10/18/2013
2 States, UTV, $2238174, 137, $1073898, 135, 4/18/2014
20 Centimeters, TLA, $6635, 2, $2177, 1, 10/27/2006
20 Dates, FoxS, $541636, 43, $40244, 3, 2/26/1999
20 Feet from Stardom, RTWC, $4946445, 147, $54596, 3, 6/14/2013
20 Million Miles to Earth, Col., n/a, n/a, n/a, n/a, Jun 1957
20 Once Again, CJ, $234573, 13, $92827, 13, 1/16/2015
20000 Days on Earth, Drft., $279558, 28, $27879, 1, 9/17/2014
200 Cartas, VF, $9338, 2, $9338, 2, 6/14/2013
200 Cigarettes, Par., $6852450, 978, $3244277, 976, 2/26/1999
2001: A Space Odyssey, MGM, $56715371*, n/a, n/a, n/a, 4/3/1968
2001: A Space Odyssey (2013 re-release), WB, $214618*, n/a, n/a, n/a, 1/2/2013
2001: A Space Odyssey (Re-issue), WB, $239621*, n/a, n/a, n/a, 10/5/2001
2005 Academy Award Nominated Short Films, Magn., $157415, 12, $28571, 6, 2/24/2006
The 2006 Academy Award Nominated Short Films, Magn., $335090, 38, $105709, 38, 2/16/2007
2007 Academy Award Nominated Short Films, Magn., $508695, n/a, $197664, 65, 2/15/2008
2008 Oscar Shorts, Shrts., $644635, 60, $150203, 41, 2/6/2009
2010, MGM, $40400657, 1213, $7393361, 1126, 12/7/1984
2010 Oscar Shorts, Shrts., $1018169, 95, $291360, 95, 2/19/2010
2011 Oscar Shorts, Shrts., $1352152, 117, $300706, 95, 2/11/2011
2012, Sony, $166112167, 3444, $65237614, 3404, 11/13/2009
2012 Oscar Nominated Short Films, Shrts., $1702415, 146, $412304, 120, 2/10/2012
2012: Time for Change, Mang., $68339, 2, $9009, 1, 4/9/2010
2013 Oscar Nominated Short Films, Shrts., $2142342, 266, $371605, 105, 2/1/2013
2014 Oscar Nominated Short Films, Shrts., $2171849, 167, $329505, 105, 1/31/2014
2015 Oscar Nominated Short Films, Shrts., $2412593, 280, $416850, 118, 1/30/2015
2016 Obama's America, RM, $33449086, 2017, $31610, 1, 7/13/2012
2016 Oscar Nominated Short Films, Shrts., $2816816, 260, $559502, 123, 1/29/2016
2017 Cloverfield Movie, Par., n/a, n/a, n/a, n/a, 2/2/2018
2046, SPC, $1444588, 61, $113074, 4, 8/5/2005
20th Century Women, A24, $5664764, 650, $111200, 4, 12/28/2016
21, Sony, $81159365, 2952, $24105943, 2648, 3/28/2008
21 and Over, Rela., $25682380, 2771, $8754168, 2771, 3/1/2013
21 Grams, Focus, $16290476, 411, $274454, 8, 11/21/2003
21 Jump Street, Sony, $138447667, 3148, $36302612, 3121, 3/16/2012
22 Bullets, Cdgm., n/a, n/a, n/a, n/a, Jan 2013
22 Jump Street, Sony, $191719337, 3426, $57071445, 3306, 6/13/2014
The 22nd Tournee of Animation, EXPe, $768304, n/a, n/a, n/a, 3/30/1990
23 Blast, OAE, $549185, 617, $337091, 617, 10/24/2014
2307: Winter's Dream, VE, n/a, n/a, n/a, n/a, 10/6/2017
The 23rd Tournee of Animation, EXPe, $862309, n/a, n/a, n/a, 8/23/1991
24 (2016), Eros, n/a, n/a, n/a, n/a, TBD
24 City, CGld, $30800, 2, $6082, 1, 6/5/2009
24 Hour Party People, MGM, $1184096, 37, $34940, 2, 8/9/2002
The 24-Hour Woman, Art., $109535, 30, $21399, 1, 1/29/1999
The 24th Day, Scre., $14460, 1, $2001, 1, 5/14/2004
