title, studio, total_gross, total_gross_theaters, opening, opening_theaters, open
Buddha Mar Gaya, Eros, $18528, 5, $13871, 5, 8/17/2007
Buddies in India, CL, $293194, 55, $181705, 55, 1/27/2017
Buddy, Sony, $10113400, 2113, $3504671, 2113, 6/6/1997
Buddy Boy, FL, $12597, 3, $3651, 2, 3/24/2000
Buddy Buddy, MGM, $7258543, 248, $189000, 248, 12/11/1981
The Buddy Holly Story, Col., $14363400, n/a, n/a, n/a, 5/19/1978
The Buddy System, Fox, $1820049, 190, $524672, 190, 1/20/1984
Budrus, Bal., $68353, 4, $7819, 1, 10/8/2010
Buen Dia Ramon, FIP, $154356, 29, $51105, 15, 1/30/2015
Buena Vista Social Club, Art., $7002182, 74, $127370, 15, 6/4/1999
Buena Vista Social Club: Adios, BG, $123445, 80, $64469, 80, 5/26/2017
Buffalo '66, Lions, $2375097, 25, $39555, 2, 6/26/1998
Buffalo Soldiers, Mira., $354421, 24, $30977, 6, 7/25/2003
Buffy the Vampire Slayer, Fox, $16624456, 1981, $4515541, 1959, 7/31/1992
Bug, LGF, $7025810, 1661, $3245556, 1661, 5/25/2007
Bug (1975), Par., $3602023, n/a, n/a, n/a, 6/6/1975
A Bug's Life, BV, $162798565, 2773, $291121, 1, 11/20/1998
Bugs, KL, $3742, 3, n/a, n/a, 6/5/2017
Bugs Bunny's 1001 Rabbit Tales, WB, $78350, 33, $78350, 33, 11/19/1982
Bugs! (IMAX), SK, $19063544, 33, $67962, 32, 3/12/2003
Bugsy, TriS, $49114016, 1253, $140358, 4, 12/13/1991
Bugsy Malone, Par., $2783840, n/a, n/a, n/a, 9/15/1976
Building Hope, NobP, $3500, 1, $3500, 1, 6/3/2011
Bukowski: Born Into This, Magn., $318816, 8, $27095, 5, 5/28/2004
Bulandi, Vid., $203548, 30, $110558, 30, 1/7/2000
The Bulgarian Lovers, TLA, $60712, 3, $6345, 1, 4/30/2004
Bull Durham, Orion, $50888729, 1297, $5009301, 1238, 6/17/1988
A Bullet for Joey, UA, n/a, n/a, n/a, n/a, 4/15/1955
Bullet to the Head, WB, $9489829, 2404, $4548201, 2404, 2/1/2013
Bullet Vanishes, CL, $117629, 14, $43444, 14, 8/31/2012
Bulletproof, Uni., $21576954, 2242, $6014400, 2240, 9/6/1996
Bulletproof (1988), Uni., $807947, 268, $421302, 268, 5/13/1988
Bulletproof Heart, Key., $297415, 9, $3406, 1, 12/30/1994
Bulletproof Monk, MGM, $23358708, 2955, $8653542, 2955, 4/16/2003
Bullets Over Broadway, Mira., $13383747, 278, $86072, 2, 10/21/1994
Bullett Raja, FIP, n/a, n/a, n/a, n/a, 11/28/2013
Bullhead, Drft., $151840, 34, $32267, 7, 2/17/2012
Bullies, Uni., $2995527, 1005, $1532605, 1005, 8/29/1986
Bullitt, WB, n/a, n/a, n/a, n/a, 10/17/1968
Bully, Lions, $480811, 20, $47502, 6, 7/13/2001
Bully (2012), Wein., $279202*, 6, $116472, 5, 3/30/2012
Bully (PG-13), Wein., $3863446*, 263, $535433, 158, 4/13/2012
Bulworth, Fox, $26528185, 2051, $141816, 2, 5/15/1998
Bumblebee, Par., n/a, n/a, n/a, n/a, 12/21/2018
Bunty Aur Babli, Yash, $942756, 51, n/a, 51, 5/27/2005
The 'Burbs, Uni., $36601993, 1956, $11101197, 1952, 2/17/1989
Burden, Magn., $18440, 13, $3231, 2, 5/5/2017
Burglar, WB, $16337355, 1019, $4509754, 1019, 3/20/1987
The Burial Society, Reg., $21285, 3, n/a, n/a, 5/28/2004
Buried, LGF, $1044143, 107, $100268, 11, 9/24/2010
Burke and Hare, IFC, $4833, 1, $947, 1, 9/9/2011
Burlesque, SGem, $39440655, 3037, $11947744, 3037, 11/24/2010
Burma VJ, Osci., $51672, 3, $5554, 1, 5/20/2009
Burn, CB, $996103*, 14, n/a, n/a, 7/24/2012
Burn (2012), A23, $113173*, 4, $1970, 1, 11/9/2012
Burn After Reading, Focus, $60355347, 2657, $19128001, 2651, 9/12/2008
Burn Your Maps, ENTMP, n/a, n/a, n/a, n/a, 2017
Burning Bodhi, Mont., $3289, 10, $1474, 5, 3/18/2016
Burning Bush, KL, $16731, 2, n/a, n/a, 6/11/2014
The Burning Plain, Magn., $200730, 26, $58749, 21, 9/18/2009
Burning Secret, Vest, n/a, n/a, n/a, n/a, 12/23/1988
Burnt, Wein., $13651946, 3003, $5002521, 3003, 10/30/2015
Burnt by the Sun, SPC, $2302338, 55, $60074, 9, 4/21/1995
Burnt Money (Plata Quemada), Strand, $183132, 5, $30260, 3, 10/19/2001
Bus 174, Think, $217201, 5, $8625, 1, 10/8/2003
Busco Novio Para Mi Mujer, PNT, $1741889, 357, $902457, 357, 2/19/2016
Bush's Brain, Tar., $177525, 9, $11927, 4, 8/20/2004
Bushwhacked, Fox, $7919823, 1674, $2988468, 1674, 8/4/1995
A Business Affair, Castle, $7556, 1, $3132, 1, 11/3/1995
The Business of Being Born, ICir, $69991, 3, $9574, 1, 1/9/2008
The Business of Fancydancing, Outr., $175710, 6, $12709, 1, 5/10/2002
The Business of Strangers, IFC, $1030920, 60, $71821, 8, 12/7/2001
Buster, Hemd, $540000, 217, $265038, 217, 11/23/1988
Buster's Mal Heart, WGUSA, $73121, 18, $7137, 1, 4/28/2017
Bustin' Bonaparte, Free, n/a, 2, n/a, 2, 6/3/2005
Bustin' Down the Door, Scre., $109427, 17, $17317, 5, 7/25/2008
Bustin' Loose, Uni., $31261269, n/a, $6622753, 828, 5/22/1981
But Always (Yi Sheng Yi Shi), CL, $430760, 20, $144720, 20, 9/5/2014
But I'm a Cheerleader, Lions, $2205627, 115, $60410, 4, 7/7/2000
Butch and Sundance: The Early Days, Fox, $5136913, 689, $1522351, 689, 6/15/1979
Butch Cassidy and the Sundance Kid, Fox, $102308889, n/a, n/a, n/a, 9/23/1969
The Butcher Boy, WB, $1995911, 90, $135606, 9, 4/3/1998
The Butcher's Wife, Par., $9689816, 800, $2442229, 800, 10/25/1991
The Butcher the Chef and the Swordsman, CL, $47896, 37, $23425, 37, 3/18/2011
Butter, RTWC, $105018, 90, $70931, 90, 10/5/2012
The Butterfly, FRun, $38438, 2, $1906, 1, 12/19/2003
Butterfly, Mira., $2092682, 72, $82973, 14, 6/16/2000
The Butterfly Effect, NL, $57938693, 2605, $17065227, 2605, 1/23/2004
Butterfly Girl, Indic., $17503, 3, $4326, 2, 4/3/2015
Butterfly Kiss, Lions, $87626, n/a, n/a, n/a, 5/3/1996
The Butterfly Room, AD, $1081, 1, $1081, 1, 4/11/2014
Buzzard, Osci., $14591, 11, $8031, 11, 3/6/2015
Buzzkill, Indic., $5860, 1, n/a, 1, 1/20/2012
By Hook or by Crook, AL, $1802, 2, $1802, 2, 10/25/2002
By the Light of the Silvery Moon, WB, n/a, n/a, n/a, n/a, 3/26/1953
By the Sea, Uni., $538460, 142, $96250, 10, 11/13/2015
By the Sword, Hns., $6220, 9, $4078, 9, 9/24/1993
The Bye Bye Man, STX, $22395806, 2220, $13501349, 2220, 1/13/2017
Bye Bye Love, Fox, $12096673, 1379, $4523048, 1378, 3/17/1995
Byzantium, IFC, $89237, 13, $16643, 6, 6/28/2013
C Me Dance, Free, n/a, 150, n/a, 150, 4/3/2009
C'est La Vie, Gold., $805472, 28, $18749, 2, 11/2/1990
C'Est Si Bon, CJ, $164167, 23, n/a, n/a, 2/13/2015
C.H.U.D., NW, $4654423, 310, $1762922, 310, 8/31/1984
C.O.G., Scre., $55301, 20, $32677, 20, 9/20/2013
Ca$h, RAtt., $46488, 43, $16469, 27, 3/26/2010
Cabeza De Vaca, Conc, $789127, 11, $5960, 1, 5/15/1992
Cabin Boy, BV, $3662459, 593, $1513507, 593, 1/7/1994
Cabin Fever, Lions, $21158188, 2105, $8633585, 2087, 9/12/2003
The Cabin in the Woods, LGF, $42073277, 2811, $14743614, 2811, 4/13/2012
The Cabinet of Dr. Caligari, GDC, n/a, n/a, n/a, n/a, 3/19/1921
The Cabinet of Dr. Caligari (2014 re-release), KL, $8811, 1, n/a, n/a, 10/31/2014
The Cable Guy, Sony, $60240295, 2657, $19806226, 2657, 6/14/1996
Cache (Hidden), SPC, $3647381, 90, $57010, 5, 12/23/2005
Cadaver, SGem, n/a, n/a, n/a, n/a, 8/24/2018
Caddyshack, WB, $39846344, n/a, $3142689, 656, 7/25/1980
Caddyshack II, WB, $11798302, 1556, $4436330, 1556, 7/22/1988
Cadence, NL, $2070871, 31, $173601, 31, 1/18/1991
Cadillac Man, Orion, $27627310, 1878, $6712079, 1826, 5/18/1990
Cadillac Records, Sony, $8195551, 701, $3445559, 687, 12/5/2008
Caesar & Otto's Summer Camp Massacre, Noct., $25844, 5, $11375, 5, 9/16/2011
Caesar Must Die, AF, $76908, 4, n/a, n/a, 2/1/2013
Cafe au Lait, NYer, $274596, n/a, n/a, n/a, 8/19/1994
Cafe Society, LGF, $11103205, 631, $359289, 5, 7/15/2016
Cage, NCeV, $618178, n/a, n/a, n/a, 1988
Caged, WB, n/a, n/a, n/a, n/a, 5/19/1950
Caged Heat, NW, n/a, n/a, n/a, n/a, 9/5/1974
Caged No More, Free, $114959, 116, $69372, 116, 1/22/2016
Cahill United States Marshal, WB, n/a, n/a, n/a, n/a, 7/11/1973
The Caine Mutiny, Col., $21750000, n/a, n/a, n/a, 6/24/1954
Cairo Time, IFC, $1603616, 76, $66245, 5, 8/6/2010
Cake, CLF, $1951776, 482, $916179, 482, 1/23/2015
Calendar Girl, Col., $2570550, 1082, $1802688, 1082, 9/3/1993
Calendar Girls, BV, $31041759, 967, $151393, 24, 12/19/2003
California, Par., n/a, n/a, n/a, n/a, Dec 1946
California Solo, Strand, $15433, 2, $3412, 1, 11/30/2012
California Split, Col., n/a, n/a, n/a, n/a, 8/7/1974
California Suite, N/A, n/a, n/a, n/a, n/a, 1978
California Typewriter, Grav., $218563, 20, $5031, 1, 8/18/2017
The Call, TriS, $51872378, 2507, $17118745, 2507, 3/15/2013
Call + Response, FTrd., $215185, 17, $41346, 12, 10/10/2008
Call Her Applebroog, Zeit., $4842, 1, $2559, 1, 6/10/2016
Call Me, Vest, $251819, n/a, n/a, n/a, 5/20/1988
Call Me by Your Name, SPC, n/a, 4, n/a, 4, 11/24/2017
Call Me Kuchu, Cdgm., $9124, 1, $3476, 1, 6/14/2013
Call Northside 777, Fox, n/a, n/a, n/a, n/a, 2/1/1948
The Call of the Wild, Fox, n/a, n/a, n/a, n/a, 12/25/2019
Call of the Wild 3D, Viv., $28682, 14, $10713, 14, 6/12/2009
The Call Up, INDEP, n/a, n/a, n/a, n/a, 6/24/2016
Callas Forever, Reg., $446955, 16, $37855, 5, 11/5/2004
Calle 54, Mira., $187308, 12, $8702, 1, 10/20/2000
The Calling, Test., $6092, 10, $4754, 10, 10/10/2003
Calvary, FoxS, $3600006, 322, $74149, 4, 8/1/2014
Camden 28, FRun, $6983, 1, $3428, 1, 7/27/2007
Camera Obscura, Fish, $11384, 2, $6066, 1, 9/26/2003
Cameraman: The Work and Life of Jack Cardiff, Strand, $20840, 3, $1998, 1, 5/13/2011
Cameraperson, Jan., $102033, 7, $12760, 1, 9/9/2016
Camille, MGM, n/a, n/a, n/a, n/a, 12/12/1936
Camille Claudel, OrionC, $3331297, 34, $89273, 9, 12/21/1989
Camille Claudel 1915, KL, $35296, 4, $5106, 1, 10/16/2013
Camp, IFC, $1629862, 116, $54294, 3, 7/25/2003
Camp (2013), Free, $324977, 32, $7785, 1, 2/22/2013
Camp Nowhere, BV, $10475705, 1367, $2755661, 1358, 8/26/1994
Camp X-Ray, IFC, $13302, 7, $1316, 1, 10/17/2014
The Campaign, WB, $86907746, 3302, $26588460, 3205, 8/10/2012
Campfire, FM, $34835, 5, $12598, 5, 9/9/2005
Camping Sauvage, All., $3894585, 99, n/a, n/a, 7/9/2004
Campus Man, Par., $989528, 307, $319218, 307, 4/10/1987
Campus Radio, EBP, $4370, 1, $3196, 1, 2/4/2011
Can Mr. Smith Get to Washington Anymore?, AtRsk, $35397, 1, $6742, 1, 7/27/2006
Can You Dig This, Gathr, $15909, 13, n/a, n/a, 11/27/2015
Can't Buy Me Love, BV, $31623833, 1283, $4754732, 1256, 8/14/1987
Can't Hardly Wait, Sony, $25605015, 1987, $8025910, 1987, 6/12/1998
Can't Stand Losing You: Surviving the Police, CLS, $23262, 5, $5656, 2, 3/20/2015
Can-Can, Fox, n/a, n/a, n/a, n/a, 3/9/1960
Canadian Bacon, Gram., $163971, 14, $53349, 14, 9/22/1995
Canary, ImAs, $504, 1, $504, 1, 7/25/2008
Candy, Think, $45128, 12, $3646, 1, 11/17/2006
Candyman, TriS, $25792310, 1500, $5404320, 1251, 10/16/1992
Candyman: Farewell to the Flesh, Gram., $13940383, 1605, $6046825, 1605, 3/17/1995
Canelo vs. Chavez Jr., Fathom, $343387, 273, $343387, 273, 5/6/2017
Canelo Vs. GGG: Supremacy, Fathom, $703396, 465, $703396, 465, 9/16/2017
Cannery Row, MGM, $5301539, 700, $1500000, 700, 2/12/1982
The Cannonball Run, Fox, $72179579, 1692, $11765654, 1673, 6/19/1981
Cannonball Run II, WB, $28078073, 1845, $8323948, 1778, 6/29/1984
Canopy, Mont., $8462, 5, $3042, 1, 8/29/2014
Cantinflas, LGF, $6382924, 429, $2661253, 382, 8/29/2014
Canvas, Scre., $35630, 5, $13100, 2, 10/12/2007
The Canyon, Truly, $1785, 2, $1785, 2, 10/23/2009
Canyon Passage, Uni., n/a, n/a, n/a, n/a, 7/17/1946
The Canyons, IFC, $56825, 9, $13351, 1, 8/2/2013
Cape Fear, Uni., $79091969, 1707, $10261025, 924, 11/15/1991
Cape of Good Hope, AL, $26904, 6, $7624, 2, 11/11/2005
Capital, Cohen, $101700, 34, $22400, 2, 10/25/2013
Capitalism: A Love Story, Over., $14363397, 995, $231964, 4, 9/23/2009
Capone, Fox, n/a, n/a, n/a, n/a, Apr 1975
Capote, SPC, $28750530, 1239, $324857, 12, 9/30/2005
Caprice, Fox, n/a, n/a, n/a, n/a, 6/7/1967
Captain America: Civil War, BV, $408084349, 4226, $179139142, 4226, 5/6/2016
Captain America: The First Avenger, Par., $176654505, 3715, $65058524, 3715, 7/22/2011
Captain America: The Winter Soldier, BV, $259766572, 3938, $95023721, 3938, 4/4/2014
Captain Blood, WB, n/a, n/a, n/a, n/a, 12/19/1935
Captain Corelli's Mandolin, Uni., $25543895, 1612, $7209345, 1595, 8/17/2001
Captain Fantastic, BST, $5879736, 550, $93824, 4, 7/8/2016
Captain from Castile, Fox, n/a, n/a, n/a, n/a, 12/25/1947
Captain Horatio Hornblower, WB, n/a, n/a, n/a, n/a, 9/13/1951
Captain Kidd, UA, n/a, n/a, n/a, n/a, 11/22/1945
Captain Marvel, BV, n/a, n/a, n/a, n/a, 3/8/2019
Captain Phillips, Sony, $107100855, 3143, $25718314, 3020, 10/11/2013
Captain Ron, BV, $22518097, 1533, $4893112, 1414, 9/18/1992
Captain Sabertooth, Indic., $105152, 5, $20526, 3, 9/22/2006
Captain Underpants: The First Epic Movie, Fox, $73921000, 3529, $23851539, 3434, 6/2/2017
Captains of the Clouds, WB, n/a, n/a, n/a, n/a, 2/21/1942
The Captive, A24, $1075178, 133, $407804, 132, 9/5/2014
Captive (2015), Par., $2583301, 807, $1393243, 806, 9/18/2015
Captive Hearts, MGM, $73757, 41, $32462, 41, 6/5/1987
Captive State, Focus, n/a, n/a, n/a, n/a, 8/17/2018
Captivity, ADF, $2626800, 1061, $1429100, 1061, 7/13/2007
Capture the Flag, Par., $6690, 20, $6690, 20, 12/4/2015
Capturing the Friedmans, Magn., $3119113, 78, $65154, 3, 5/30/2003
Car 54 Where Are You?, Orion, $1238080, 608, $791182, 608, 1/28/1994
Caramel, RAtt., $1055580, 50, $71916, 11, 2/1/2008
Carancho, Strand, $85526, 5, $15810, 5, 2/11/2011
Carandiru, SPC, $216335, 15, $17945, 6, 5/14/2004
Caravaggio (Re-issue), Zeit., $3774, 1, $532, 1, 4/16/2002
Caravans, Uni., $3930501, n/a, n/a, n/a, 11/2/1978
Carbon Copy, Emb, $9566593, n/a, n/a, n/a, 9/25/1981
Carbon Nation, CWM, $16901, 2, $402, 1, 5/7/2010
The Care Bears Movie , Gold., $22934622, 1003, $3725001, 1003, 3/29/1985
The Care Bears Movie 2, Col., $8540346, 1476, $2489750, 1446, 3/7/1986
The Care Bears Movie 3, Cinpx, $2608000, 1094, $1005386, 1094, 8/7/1987
Career Girls, Oct., $2416734, 148, $93303, 8, 8/8/1997
Career Opportunities, Uni., $11336986, 1440, $4024800, 1440, 3/29/1991
Carefree, RKO, n/a, n/a, n/a, n/a, 9/2/1938
Careful What You Wish For, SM, n/a, n/a, n/a, n/a, 6/10/2016
Careful He Might Hear You, Fox, $2938179, n/a, n/a, n/a, 6/15/1984
The Carer, Crnth, $6208, 1, $5102, 1, 9/9/2016
Carl, ALP, $2592, 1, $2592, 1, 4/27/2012
Carl Jackson's the Jesus Freak, CJE, n/a, n/a, n/a, n/a, 8/25/2017
Carla's Song, Shad., $25845, n/a, n/a, n/a, 6/26/1998
Carlito's Way, Uni., $36948322, 1634, $9116675, 1615, 11/12/1993
Carlos, IFC, $145526, 7, $20006, 2, 10/15/2010
Carlos Castaneda: Enigma of a Sorcerer, Indic., $107040, 2, $4236, 2, 3/5/2004
Carman the Champion, 8X, $1765751, 232, $769080, 232, 3/2/2001
Carmen & Geoffrey, FRun, $14130, 1, $5656, 1, 3/13/2009
Carmen Miranda: Bananas Is My Business, IntC, $14528, 1, $10170, 1, 7/5/1995
Carmo Hit the Road, FRun, $1512, 1, $835, 1, 10/15/2010
Carnage, Wells, $60158, 6, $7139, 1, 9/5/2003
Carnage (2011), SPC, $2547047, 494, $79795, 5, 12/16/2011
Carnal Knowledge, Emb, n/a, n/a, n/a, n/a, 6/30/1971
Carnosaur, Conc, $1753979, 65, n/a, n/a, 5/21/1993
Carny, MGM, $1817720, n/a, n/a, n/a, 5/23/1980
Carol, Wein., $12711491, 790, $253510, 4, 11/20/2015
Carol Channing: Larger Than Life, EOne, $22740, 3, $5000, 2, 1/20/2012
Carousel, Fox, n/a, n/a, n/a, n/a, 2/16/1956
Carpool, WB, $3325651, 1487, $1628482, 1487, 8/23/1996
Carrie, UA, $33800000, n/a, n/a, n/a, 11/3/1976
Carrie (2013), SGem, $35266619, 3157, $16101552, 3157, 10/18/2013
Carrie Pilby, Orch., $18957, 6, $13944, 6, 3/31/2017
Carried Away, FL, $290978, 9, $35416, 9, 3/29/1996
Carriers, ParV, $104352, 100, $76857, 100, 9/4/2009
Carrington, Gram., $3242342, 127, $151722, 12, 11/10/1995
Cars, BV, $244082982, 3988, $60119509, 3985, 6/9/2006
Cars 2, BV, $191452396, 4115, $66135507, 4115, 6/24/2011
Cars 3, BV, $152901115, 4256, $53688680, 4256, 6/16/2017
The Cars That Ate Paris, N/A, n/a, n/a, n/a, n/a, 1974
Cartas a Elena, Free, $8511, 12, $7711, 12, 6/8/2012
The Cartel, MP, $87763, 2, $3694, 2, 4/16/2010
Cartel Land, Orch., $704352, 65, $15581, 2, 7/3/2015
Carter High, PN, $240214, 28, $87274, 21, 10/30/2015
Casa de Los Babys, IFC, $478031, 71, $36456, 9, 9/19/2003
Casa De Mi Padre, LGF, $5909483, 475, $2287239, 382, 3/16/2012
Casablanca, WB, n/a*, n/a, n/a, n/a, 11/26/1942
Casablanca (2012 re-release), WB, $1155330*, 507, n/a, n/a, 3/21/2012
Casablanca (2013 re-release), WB, $208608*, n/a, n/a, n/a, 4/3/2013
Casablanca (Re-issue), MGM, $1719913*, 11, $181494, 11, 4/10/1992
Casanova, BV, $11304403, 1011, $119276, 37, 12/25/2005
Casanova Brown, RKO, n/a, n/a, n/a, n/a, 9/14/1944
Case 39, ParV, $13261851, 2212, $5350570, 2211, 10/1/2010
The Case for Christ, PFR, $14682684, 1386, $3967885, 1174, 4/7/2017
The Case of the Grinning Cat, Icar., $20944, 1, $1410, 1, 7/21/2006
A Case of You, IFC, $4187, 1, n/a, 1, 11/6/2013
Cash, AdL., n/a, 39, n/a, 39, 8/3/2007
Cashback, Magn., $25343, 22, $14878, 9, 7/20/2007
Casi Divas, Maya, $46612, 22, $27491, 22, 8/21/2009
Casino, Uni., $42512375, 1631, $9946480, 1616, 11/22/1995
Casino Jack, ATO, $1042959, 60, $34528, 7, 12/17/2010
Casino Jack and the United States of Money, Magn., $176865, 21, $28234, 9, 5/7/2010
Casino Royale, Sony, $167445960, 3443, $40833156, 3434, 11/17/2006
Casino Royale (1967), Col., n/a, n/a, n/a, n/a, 4/28/1967
Casper, Uni., $100328194, 2757, $16840385, 2714, 5/26/1995
Cassadaga, AD, $2544, 3, $1678, 3, 10/11/2013
The Cassandra Crossing, AVCO, n/a, n/a, n/a, n/a, 2/9/1977
Cassandra's Dream, Wein., $973018, 107, $361901, 107, 1/18/2008
Casshern, GF, n/a, n/a, n/a, n/a, N/A
Cast Away, Fox, $233632142, 3061, $28883406, 2774, 12/22/2000
Casting About, Kino, $7279, 2, $893, 1, 5/11/2007
Casting By, SD, $18164, 2, $5649, 2, 11/1/2013
The Castle, Mira., $877621, 257, $29452, 257, 5/7/1999
Castle Keep, Col., n/a, n/a, n/a, n/a, 7/23/1969
Casual Sex?, Uni., $12277096, 1265, $3840032, 1264, 4/22/1988
Casualties of War, Col., $18671317, 1487, $5201261, 1487, 8/18/1989
A Cat in Paris, GK, $309973, 18, $34554, 6, 6/1/2012
The Cat in the Hat, Uni., $101149285, 3467, $38329160, 3464, 11/21/2003
Cat on a Hot Tin Roof, MGM, n/a, n/a, n/a, n/a, 9/18/1958
Cat People, Uni., $7000000, 600, $1617636, 600, 4/2/1982
Cat Run, Pala., $30000, 103, $30000, 103, 4/1/2011
Cat's Eye, MGM, $13086298, 1492, $3451191, 1460, 4/12/1985
The Cat's Meow, Lions, $3209481, 153, $111037, 11, 4/12/2002
Catch a Fire, Focus, $4299773, 1306, $2026997, 1305, 10/27/2006
Catch and Release, Sony, $15539051, 1622, $7658898, 1622, 1/26/2007
Catch Me Daddy, Osci., n/a, n/a, n/a, n/a, 7/17/2015
Catch Me If You Can, DW, $164615351, 3225, $30053627, 3156, 12/25/2002
Catch Me If You Can (1989), MCE, $3686, 4, $2580, 4, 7/28/1989
Catch That Kid, Fox, $16703799, 2848, $5824860, 2847, 2/6/2004
Catch-22, Par., n/a, n/a, n/a, n/a, 6/24/1970
Catching Out, 7Art, n/a, n/a, n/a, n/a, 8/20/2003
Catching the Sun, TFC, $38613, 14, n/a, n/a, 4/1/2016
The Catechism Cataclysm, IFC, $4373, 1, $897, 1, 10/19/2011
Caterina in the Big City, Emp., $296464, 13, $9352, 2, 6/3/2005
Caterpillar, Lorb., $4157, 1, $2109, 1, 5/6/2011
Catfight, SGem, n/a, n/a, n/a, n/a, TBD
Catfish, Rog., $3237343, 143, $257285, 12, 9/17/2010
Catfish in Black Bean Sauce, Iron, $1319592, 20, $29827, 11, 6/9/2000
Cats & Dogs, WB, $93385515, 3040, $21707617, 3040, 7/4/2001
Cats & Dogs: The Revenge of Kitty Galore, WB, $43585753, 3705, $12279363, 3705, 7/30/2010
Cats Don't Dance, WB, $3566637, 1252, $939781, 1252, 3/28/1997
The Cats of Mirikitani, LucD., $38925, 3, $5160, 1, 3/2/2007
Cattle Annie and Little Britches, Uni., $534816, n/a, $115679, 215, 4/24/1981
Catwalk, Arro., $28672, 3, $9560, 1, 2/16/1996
Catwoman, WB, $40202379, 3117, $16728411, 3117, 7/23/2004
Caucus, BFOA, $10645, 2, n/a, n/a, 10/25/2013
Caught in the Web, Vita., $1067, 2, $361, 1, 11/27/2013
Caught Up, Live, $6754958, 722, $2422631, 713, 2/27/1998
Cautiva, L/Z, $16259, 2, $2220, 1, 11/10/2006
The Cave, SGem, $15007991, 2195, $6147294, 2195, 8/26/2005
Cave of Forgotten Dreams, IFC, $5304920, 123, $139101, 5, 4/29/2011
The Cave of the Yellow Dog, Tar., $141803, 11, $5229, 1, 11/10/2006
Caveman, MGM, $15965924, n/a, n/a, n/a, 4/17/1981
The Caveman's Valentine, Focus, $687194, 59, $112041, 16, 3/2/2001
Cavemen, WGUSA, $5948, 12, $3544, 12, 2/7/2014
Cavite, Truly, $70071, 3, $12726, 2, 5/26/2006
CB4, Uni., $17953778, 1226, $6122450, 1204, 3/12/1993
CBGB, XL, $40400, 100, $3909, 1, 10/4/2013
Cecil B. Demented, Art., $1284646, 82, $127141, 9, 8/11/2000
Cedar Rapids, FoxS, $6861102, 462, $302968, 15, 2/11/2011
The Celebration, Oct., $1656223, 28, $50497, 28, 10/9/1998
Celebrity, Mira., $5078660, 493, $1588013, 493, 11/20/1998
Celeste and Jesse Forever, SPC, $3094813, 586, $107785, 4, 8/3/2012
The Celestine Prophecy, Ram, $617236, 19, $25297, 2, 4/19/2006
Celine & Julie Go Boating (re-issue), NYer, $31452, 1, $5624, 1, 5/4/2012
Celine: Through the Eyes of the World, Sony, n/a, n/a, n/a, n/a, 2/17/2010
Cell, Saban, n/a, n/a, n/a, n/a, 7/8/2016
The Cell, NL, $61334059, 2476, $17515050, 2411, 8/18/2000
Cellular, NL, $32003620, 2763, $10100571, 2749, 9/10/2004
The Celluloid Closet, SPC, $1400591, 38, $95047, 9, 3/15/1996
Celsius 41.11: The Truth Behind the Lies of Fahrenheit 9/11, CitU, $93000, 116, $93000, 116, 10/22/2004
Celtic Pride, BV, $9255027, 1836, $3809248, 1832, 4/19/1996
The Cement Garden, Oct., $322975, 7, $23410, 2, 2/11/1994
The Cemetary Club, BV, $6011745, 523, $56833, 6, 2/5/1993
Cemetary Man, Oct., $253986, 25, $22459, 6, 4/26/1996
Cemetery of Splendor, Strand, $51950, 6, $7780, 2, 3/4/2016
Censored Voices, MBox, $41260, 6, $6153, 2, 11/20/2015
The Center of the World, Art., $1101344, 45, $67809, 7, 4/20/2001
Center Stage, Sony, $17200925, 1506, $4604621, 1506, 5/12/2000
Central Intelligence, WB (NL), $127440871, 3508, $35535250, 3508, 6/17/2016
The Central Park Five, IFC, $325653, 22, $30570, 3, 11/23/2012
Central Station, SPC, $5596708, 144, $35708, 2, 11/20/1998
Centurion, Magn., $123570, 19, $42826, 12, 8/27/2010
Century, IRS, $7271, 1, $3535, 1, 12/9/1994
Ceremony, Magn., $22270, 4, $6920, 2, 4/8/2011
Certain Fury, NW, $1381091, n/a, n/a, n/a, 3/1/1985
Certain Women, IFC, $1087585, 138, $60898, 5, 10/14/2016
Certifiably Jonathan, A23, n/a, n/a, n/a, n/a, 2/11/2011
Certified Copy, IFC, $1373975, 57, $77937, 5, 3/11/2011
Cesar Chavez, LGF, $5571497, 664, $2861528, 664, 3/28/2014
Cet Amour-La, NYer, $72844, 2, $11311, 2, 4/2/2003
Cezanne et moi, Magn., $257597, 29, $15744, 2, 3/31/2017
Chaal Mera Bhai, Eros, $199227, 25, $131137, 25, 5/5/2000
Chaar Sahibzaade, N/A, n/a, n/a, n/a, n/a, TBD
Chaar Sahibzaade: Rise of Band Singh Bahadur, Eros, $700723, 103, $303863, 103, 11/11/2016
Chain Letter, NFC, $138788, 406, $138788, 406, 10/1/2010
Chain Reaction, Fox, $21226204, 2256, $7545944, 2255, 8/2/1996
Chained Heat, JenF, $6149983, 417, $2252682, 404, 5/27/1983
Chairman of the Board, Trim., $181233, 196, $181233, 196, 3/13/1998
Chak DE! India, Yash, $1120404, 62, $351887, 62, 8/10/2007
Chakjawana (Go For It), Relbig., n/a, 15, n/a, 15, 8/27/2010
Chakravyuh, Eros, $151778, 79, $97896, 79, 10/24/2012
Chalet Girl, IFC, $1710, 1, $192, 1, 10/14/2011
Chalk, ArtsA, $302845, 7, $6913, 1, 5/11/2007
